page_title,english_name,scientific_name,order,family,family_english_name,iucn_red_list_category,avibase_id,range,extinct_or_possibly_extinct,source_dataset,source_version,source_url
Somali Ostrich,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae,Ostriches,VU,avibase-40329BB6,"desert to savanna plains of northeastern Africa, from northern Ethiopia, Djibouti, and Somalia southward through far southeastern South Sudan, and southeastern Kenya",,AviList,AviList-v2025-11Jun-short,https://www.avilist.org/wp-content/uploads/2025/06/AviList-v2025-11Jun-short.xlsx
Common Ostrich,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae,Ostriches,LC,avibase-2247CB05,,,AviList,AviList-v2025-11Jun-short,https://www.avilist.org/wp-content/uploads/2025/06/AviList-v2025-11Jun-short.xlsx
Emu,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae,Emu and Cassowaries,NE,avibase-FD2456D5,,,AviList,AviList-v2025-11Jun-short,https://www.avilist.org/wp-content/uploads/2025/06/AviList-v2025-11Jun-short.xlsx
Southern Cassowary,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae,Emu and Cassowaries,LC,avibase-8B9D93D8,"New Guinea, including Aru Islands (off southwestern New Guinea) and northeastern Australia (northern Cape York Peninsula)",,AviList,AviList-v2025-11Jun-short,https://www.avilist.org/wp-content/uploads/2025/06/AviList-v2025-11Jun-short.xlsx
Dwarf Cassowary,Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae,Emu and Cassowaries,LC,avibase-7751E0D1,,,AviList,AviList-v2025-11Jun-short,https://www.avilist.org/wp-content/uploads/2025/06/AviList-v2025-11Jun-short.xlsx
Northern Cassowary,Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae,Emu and Cassowaries,LC,avibase-32E7303B,"lowlands of New Guinea, including Raja Ampat Islands (off western New Guinea) and Yapen (Cenderawasih Bay, off northwestern New Guinea)",,AviList,AviList-v2025-11Jun-short,https://www.avilist.org/wp-content/uploads/2025/06/AviList-v2025-11Jun-short.xlsx
Little Spotted Kiwi,Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae,Kiwis,NT,avibase-187706CF,"Kapiti, South, and formerly North islands (New Zealand)",,AviList,AviList-v2025-11Jun-short,https://www.avilist.org/wp-content/uploads/2025/06/AviList-v2025-11Jun-short.xlsx
Great Spotted Kiwi,Great Spotted Kiwi,Apteryx maxima,Apterygiformes,Apterygidae,Kiwis,VU,avibase-0D8B9E40,montane forest of northwestern South Island (New Zealand),,AviList,AviList-v2025-11Jun-short,https://www.avilist.org/wp-content/uploads/2025/06/AviList-v2025-11Jun-short.xlsx
Southern Brown Kiwi,Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae,Kiwis,VU,avibase-6BA55EF0,,,AviList,AviList-v2025-11Jun-short,https://www.avilist.org/wp-content/uploads/2025/06/AviList-v2025-11Jun-short.xlsx
Okarito Kiwi,Okarito Kiwi,Apteryx rowi,Apterygiformes,Apterygidae,Kiwis,VU,avibase-D433BDAB,"Okarito Forest (west coast of South Island, New Zealand)",,AviList,AviList-v2025-11Jun-short,https://www.avilist.org/wp-content/uploads/2025/06/AviList-v2025-11Jun-short.xlsx
North Island Brown Kiwi,North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae,Kiwis,VU,avibase-DB55CB8C,North Island (New Zealand),,AviList,AviList-v2025-11Jun-short,https://www.avilist.org/wp-content/uploads/2025/06/AviList-v2025-11Jun-short.xlsx
Lesser Rhea,Lesser Rhea,Rhea pennata,Rheiformes,Rheidae,Rheas,LC,avibase-590ADF92,,,AviList,AviList-v2025-11Jun-short,https://www.avilist.org/wp-content/uploads/2025/06/AviList-v2025-11Jun-short.xlsx
