english_name,scientific_name
Somali Ostrich,Struthio molybdophanes
Common Ostrich,Struthio camelus
Emu,Dromaius novaehollandiae
Southern Cassowary,Casuarius casuarius
Dwarf Cassowary,Casuarius bennetti
Northern Cassowary,Casuarius unappendiculatus
Little Spotted Kiwi,Apteryx owenii
Great Spotted Kiwi,Apteryx maxima
Southern Brown Kiwi,Apteryx australis
Okarito Kiwi,Apteryx rowi
North Island Brown Kiwi,Apteryx mantelli
Lesser Rhea,Rhea pennata
Greater Rhea,Rhea americana
Puna Tinamou,Tinamotis pentlandii
Patagonian Tinamou,Tinamotis ingoufi
Quebracho Crested Tinamou,Eudromia formosa
Elegant Crested Tinamou,Eudromia elegans
Dwarf Tinamou,Taoniscus nanus
White-bellied Nothura,Nothura boraquira
Lesser Nothura,Nothura minor
Darwin's Nothura,Nothura darwinii
Spotted Nothura,Nothura maculosa
Huayco Tinamou,Rhynchotus maculicollis
Red-winged Tinamou,Rhynchotus rufescens
Taczanowski's Tinamou,Nothoprocta taczanowskii
Ornate Tinamou,Nothoprocta ornata
Chilean Tinamou,Nothoprocta perdicaria
Brushland Tinamou,Nothoprocta cinerascens
Andean Tinamou,Nothoprocta pentlandii
Curve-billed Tinamou,Nothoprocta curvirostris
Tawny-breasted Tinamou,Nothocercus julius
Highland Tinamou,Nothocercus bonapartei
Hooded Tinamou,Nothocercus nigrocapillus
Grey Tinamou,Tinamus tao
Solitary Tinamou,Tinamus solitarius
Black Tinamou,Tinamus osgoodi
Great Tinamou,Tinamus major
White-throated Tinamou,Tinamus guttatus
Cinereous Tinamou,Crypturellus cinereus
Berlepsch's Tinamou,Crypturellus berlepschi
Little Tinamou,Crypturellus soui
Tepui Tinamou,Crypturellus ptaritepui
Brown Tinamou,Crypturellus obsoletus
Undulated Tinamou,Crypturellus undulatus
Pale-browed Tinamou,Crypturellus transfasciatus
Brazilian Tinamou,Crypturellus strigulosus
Grey-legged Tinamou,Crypturellus duidae
Red-legged Tinamou,Crypturellus erythropus
Yellow-legged Tinamou,Crypturellus noctivagus
Black-capped Tinamou,Crypturellus atrocapillus
Slaty-breasted Tinamou,Crypturellus boucardi
Choco Tinamou,Crypturellus kerriae
Variegated Tinamou,Crypturellus variegatus
Thicket Tinamou,Crypturellus cinnamomeus
Rusty Tinamou,Crypturellus brevirostris
Bartlett's Tinamou,Crypturellus bartletti
Small-billed Tinamou,Crypturellus parvirostris
Barred Tinamou,Crypturellus casiquiare
Tataupa Tinamou,Crypturellus tataupa
Horned Screamer,Anhima cornuta
Northern Screamer,Chauna chavaria
Southern Screamer,Chauna torquata
Magpie Goose,Anseranas semipalmata
White-backed Duck,Thalassornis leuconotus
Spotted Whistling Duck,Dendrocygna guttata
Plumed Whistling Duck,Dendrocygna eytoni
White-faced Whistling Duck,Dendrocygna viduata
Black-bellied Whistling Duck,Dendrocygna autumnalis
West Indian Whistling Duck,Dendrocygna arborea
Fulvous Whistling Duck,Dendrocygna bicolor
Wandering Whistling Duck,Dendrocygna arcuata
Lesser Whistling Duck,Dendrocygna javanica
Musk Duck,Biziura lobata
Green Pygmy Goose,Nettapus pulchellus
Cotton Pygmy Goose,Nettapus coromandelianus
African Pygmy Goose,Nettapus auritus
Freckled Duck,Stictonetta naevosa
Black-headed Duck,Heteronetta atricapilla
Masked Duck,Nomonyx dominicus
White-headed Duck,Oxyura leucocephala
Blue-billed Duck,Oxyura australis
Maccoa Duck,Oxyura maccoa
Lake Duck,Oxyura vittata
Ruddy Duck,Oxyura jamaicensis
Spur-winged Goose,Plectropterus gambensis
Pink-eared Duck,Malacorhynchus membranaceus
Coscoroba Swan,Coscoroba coscoroba
Cape Barren Goose,Cereopsis novaehollandiae
Black-necked Swan,Cygnus melancoryphus
Mute Swan,Cygnus olor
Black Swan,Cygnus atratus
Tundra Swan,Cygnus columbianus
Whooper Swan,Cygnus cygnus
Trumpeter Swan,Cygnus buccinator
Brant Goose,Branta bernicla
Red-breasted Goose,Branta ruficollis
Nene,Branta sandvicensis
Canada Goose,Branta canadensis
Barnacle Goose,Branta leucopsis
Cackling Goose,Branta hutchinsii
Bar-headed Goose,Anser indicus
Emperor Goose,Anser canagicus
Ross's Goose,Anser rossii
Snow Goose,Anser caerulescens
Greylag Goose,Anser anser
Swan Goose,Anser cygnoides
Lesser White-fronted Goose,Anser erythropus
Greater White-fronted Goose,Anser albifrons
Tundra Bean Goose,Anser serrirostris
Pink-footed Goose,Anser brachyrhynchus
Taiga Bean Goose,Anser fabalis
Torrent Duck,Merganetta armata
Ringed Teal,Callonetta leucophrys
Muscovy Duck,Cairina moschata
Mandarin Duck,Aix galericulata
Wood Duck,Aix sponsa
Orinoco Goose,Neochen jubata
Andean Goose,Chloephaga melanoptera
Upland Goose,Chloephaga picta
Kelp Goose,Chloephaga hybrida
Ashy-headed Goose,Chloephaga poliocephala
Ruddy-headed Goose,Chloephaga rubidiceps
Radjah Shelduck,Radjah radjah
Egyptian Goose,Alopochen aegyptiaca
Common Shelduck,Tadorna tadorna
South African Shelduck,Tadorna cana
Ruddy Shelduck,Tadorna ferruginea
Paradise Shelduck,Tadorna variegata
Australian Shelduck,Tadorna tadornoides
Long-tailed Duck,Clangula hyemalis
Steller's Eider,Polysticta stelleri
Spectacled Eider,Somateria fischeri
King Eider,Somateria spectabilis
Common Eider,Somateria mollissima
Harlequin Duck,Histrionicus histrionicus
Common Scoter,Melanitta nigra
Black Scoter,Melanitta americana
Surf Scoter,Melanitta perspicillata
Velvet Scoter,Melanitta fusca
White-winged Scoter,Melanitta deglandi
Stejneger's Scoter,Melanitta stejnegeri
Bufflehead,Bucephala albeola
Barrow's Goldeneye,Bucephala islandica
Common Goldeneye,Bucephala clangula
Smew,Mergellus albellus
Hooded Merganser,Lophodytes cucullatus
